Disease,Year,PROVINCE,Week_no,Count
Dengue,2013,Chonburi,24,63
Dengue,2013,Chonburi,25,49
Dengue,2013,Chonburi,26,66
Dengue,2013,Chonburi,27,63
Dengue,2013,Chonburi,28,50
Dengue,2013,Chonburi,29,37
Dengue,2013,Chonburi,30,43
Dengue,2013,Chonburi,31,50
Dengue,2013,Chonburi,32,48
Dengue,2013,Chonburi,33,55
Dengue,2013,Chonburi,34,74
Dengue,2013,Chonburi,35,107
Dengue,2013,Chonburi,36,70
Dengue,2013,Chonburi,37,68
Dengue,2013,Chonburi,38,59
Dengue,2013,Chonburi,39,45
Dengue,2013,Chonburi,40,33
Dengue,2013,Chonburi,41,37
Dengue,2013,Chonburi,42,34
Dengue,2013,Chonburi,43,41
Dengue,2013,Chonburi,44,39
Dengue,2013,Chonburi,45,30
Dengue,2013,Chonburi,46,31
Dengue,2013,Chonburi,47,32
Dengue,2013,Chonburi,48,15
Dengue,2013,Chonburi,49,17
Dengue,2013,Chonburi,50,20
Dengue,2013,Chonburi,51,9
Dengue,2013,Chonburi,52,8
Dengue,2013,Chonburi,53,12
Dengue,2013,Rayong,1,31
Dengue,2013,Rayong,2,60
Dengue,2013,Rayong,3,49
Dengue,2013,Rayong,4,41
Dengue,2013,Rayong,5,31
Dengue,2013,Rayong,6,39
Dengue,2013,Rayong,7,40
Dengue,2013,Rayong,8,40
Dengue,2013,Rayong,9,20
Dengue,2013,Rayong,10,34
Dengue,2013,Rayong,11,35
Dengue,2013,Rayong,12,38
Dengue,2013,Rayong,13,28
Dengue,2013,Rayong,14,34
Dengue,2013,Rayong,15,25
Dengue,2013,Rayong,16,34
Dengue,2013,Rayong,17,28
Dengue,2013,Rayong,18,27
Dengue,2013,Rayong,19,33
Dengue,2013,Rayong,20,41
Dengue,2013,Rayong,21,31
Dengue,2013,Rayong,22,38
Dengue,2013,Rayong,23,32
Dengue,2013,Rayong,24,50
Dengue,2013,Rayong,25,74
Dengue,2013,Rayong,26,64
Dengue,2013,Rayong,27,74
Dengue,2013,Rayong,28,59
Dengue,2013,Rayong,29,55
Dengue,2013,Rayong,30,68
Dengue,2013,Rayong,31,61
Dengue,2013,Rayong,32,45
Dengue,2013,Rayong,33,45
Dengue,2013,Rayong,34,47
Dengue,2013,Rayong,35,54
Dengue,2013,Rayong,36,46
Dengue,2013,Rayong,37,48
Dengue,2013,Rayong,38,30
Dengue,2013,Rayong,39,30
Dengue,2013,Rayong,40,26
Dengue,2013,Rayong,41,32
Dengue,2013,Rayong,42,27
Dengue,2013,Rayong,43,24
Dengue,2013,Rayong,44,25
Dengue,2013,Rayong,45,36
Dengue,2013,Rayong,46,25
Dengue,2013,Rayong,47,29
Dengue,2013,Rayong,48,19
Dengue,2013,Rayong,49,17
Dengue,2013,Rayong,50,20
Dengue,2013,Rayong,51,6
Dengue,2013,Rayong,52,9
Dengue,2013,Rayong,53,4
Dengue,2013,Chanthaburi,1,15
Dengue,2013,Chanthaburi,2,21
Dengue,2013,Chanthaburi,3,10
Dengue,2013,Chanthaburi,4,7
Dengue,2013,Chanthaburi,5,10
Dengue,2013,Chanthaburi,6,6
Dengue,2013,Chanthaburi,7,11
Dengue,2013,Chanthaburi,8,14
Dengue,2013,Chanthaburi,9,10
Dengue,2013,Chanthaburi,10,12
Dengue,2013,Chanthaburi,11,16
Dengue,2013,Chanthaburi,12,14
Dengue,2013,Chanthaburi,13,15
Dengue,2013,Chanthaburi,14,24
Dengue,2013,Chanthaburi,15,20
Dengue,2013,Chanthaburi,16,22
Dengue,2013,Chanthaburi,17,26
Dengue,2013,Chanthaburi,18,29
Dengue,2013,Chanthaburi,19,34
Dengue,2013,Chanthaburi,20,33
Dengue,2013,Chanthaburi,21,51
Dengue,2013,Chanthaburi,22,58
Dengue,2013,Chanthaburi,23,52
Dengue,2013,Chanthaburi,24,67
Dengue,2013,Chanthaburi,25,69
Dengue,2013,Chanthaburi,26,75
Dengue,2013,Chanthaburi,27,80
Dengue,2013,Chanthaburi,28,65
Dengue,2013,Chanthaburi,29,71
Dengue,2013,Chanthaburi,30,54
Dengue,2013,Chanthaburi,31,36
Dengue,2013,Chanthaburi,32,36
Dengue,2013,Chanthaburi,33,33
Dengue,2013,Chanthaburi,34,54
Dengue,2013,Chanthaburi,35,47
Dengue,2013,Chanthaburi,36,37
Dengue,2013,Chanthaburi,37,31
Dengue,2013,Chanthaburi,38,26
Dengue,2013,Chanthaburi,39,21
Dengue,2013,Chanthaburi,40,23
Dengue,2013,Chanthaburi,41,17
Dengue,2013,Chanthaburi,42,21
Dengue,2013,Chanthaburi,43,16
Dengue,2013,Chanthaburi,44,12
Dengue,2013,Chanthaburi,45,16
Dengue,2013,Chanthaburi,46,17
Dengue,2013,Chanthaburi,47,12
Dengue,2013,Chanthaburi,48,11
Dengue,2013,Chanthaburi,49,9
Dengue,2013,Chanthaburi,50,5
Dengue,2013,Chanthaburi,51,5
Dengue,2013,Chanthaburi,52,0
Dengue,2013,Chanthaburi,53,2
Dengue,2013,Trat,1,8
Dengue,2013,Trat,2,6
Dengue,2013,Trat,3,3
Dengue,2013,Trat,4,2
Dengue,2013,Trat,5,6
Dengue,2013,Trat,6,6
Dengue,2013,Trat,7,3
Dengue,2013,Trat,8,5
Dengue,2013,Trat,9,11
Dengue,2013,Trat,10,8
Dengue,2013,Trat,11,8
Dengue,2013,Trat,12,23
Dengue,2013,Trat,13,20
Dengue,2013,Trat,14,15
Dengue,2013,Trat,15,15
Dengue,2013,Trat,16,26
Dengue,2013,Trat,17,21
Dengue,2013,Trat,18,19
Dengue,2013,Trat,19,15
Dengue,2013,Trat,20,34
Dengue,2013,Trat,21,21
Dengue,2013,Trat,22,38
Dengue,2013,Trat,23,42
Dengue,2013,Trat,24,43
Dengue,2013,Trat,25,38
